Age,ID_Victim,ID_Gender,ID_Country,ID_AgeSet,ID_Category
23,680,1,6,2,2
21,681,1,6,2,2
29,682,1,6,2,2
31,683,1,6,2,2
19,684,1,6,2,2
22,685,1,6,2,2
27,686,1,6,2,2
21,687,1,6,2,2
22,688,1,6,2,2
25,689,1,6,2,2
26,690,1,6,2,2
21,691,1,6,2,2
36,692,1,6,2,2
24,693,1,6,2,2
22,694,1,6,2,2
34,695,1,6,2,2
34,696,1,6,2,2
60,697,2,6,2,2
21,698,1,6,2,2
25,699,1,6,2,2
22,700,1,6,2,2
20,701,1,6,2,2
18,702,1,6,2,2
57,703,1,6,2,2
26,704,1,6,2,2
40,705,1,6,2,2
45,706,1,6,2,2
22,707,1,6,2,2
20,708,1,6,2,2
26,709,1,6,2,2
18,710,1,6,2,2
41,711,1,6,2,2
21,712,1,6,2,2
21,713,1,6,2,2
19,714,1,6,2,2
23,715,1,6,2,2
19,716,1,6,2,2
26,717,1,6,2,2
46,718,1,6,2,2
32,719,1,6,2,2
22,720,1,6,2,2
23,721,1,6,2,2
34,722,1,6,2,2
22,723,1,6,2,2
27,724,1,6,2,2
45,725,1,6,2,2
22,726,1,6,2,2
19,727,1,6,2,2
21,728,1,6,2,2
44,729,1,6,2,2
23,730,1,6,2,2
18,731,1,6,2,2
29,732,1,6,2,2
18,733,1,6,2,2
20,734,1,6,2,2
28,735,1,6,2,2
41,736,1,6,2,2
54,737,1,6,2,2
34,738,1,6,2,2
50,739,1,6,2,2
19,740,1,6,2,2
31,741,1,6,2,2
26,742,1,6,2,2
34,743,1,6,2,2
26,744,1,6,2,2
32,745,1,6,2,2
32,746,1,6,2,2
19,747,1,6,2,2
22,748,1,6,2,2
30,749,1,6,2,2
25,750,1,6,2,2
42,751,1,6,2,2
18,752,1,6,2,2
21,753,1,6,2,2
18,754,1,6,2,2
20,755,1,6,2,2
27,756,1,6,2,2
30,757,1,6,2,2
25,758,1,6,2,2
27,759,1,6,2,2
22,760,1,6,2,2
36,761,1,6,2,2
23,762,1,6,2,2
21,763,1,6,2,2
23,764,1,6,2,2
20,765,1,6,2,2
24,766,1,6,2,2
28,767,1,6,2,2
19,768,1,6,2,2
19,769,1,6,2,2
27,770,1,6,2,2
58,771,1,6,2,2
19,772,1,6,2,2
20,773,1,6,2,2
25,774,1,6,2,2
32,775,1,6,2,2
18,776,1,6,2,2
19,777,1,6,2,2
26,778,1,6,2,2
21,779,1,6,2,2
27,780,1,6,2,2
35,781,1,6,2,2
46,782,1,6,2,2
41,783,1,6,2,2
30,784,1,6,2,2
50,785,2,6,2,2
30,786,2,6,2,2
23,787,1,6,2,2
27,788,1,6,2,2
18,789,1,6,2,2
42,790,1,6,2,2
28,791,1,6,2,2
22,792,2,6,2,2
50,793,1,6,2,2
23,794,1,6,2,2
28,795,1,6,2,2
34,796,1,6,2,2
27,797,1,6,2,2
25,798,1,6,2,2
50,799,1,6,2,2
38,800,1,6,2,2
59,801,1,6,2,2
30,802,1,6,2,2
28,803,1,6,2,2
24,804,1,6,2,2
20,805,1,6,2,2
25,806,1,6,2,2
53,807,1,6,2,2
22,808,1,6,2,2
26,809,1,6,2,2
20,810,1,6,2,2
28,811,1,6,2,2
29,812,1,6,2,2
37,813,1,6,2,2
26,814,1,6,2,2
30,815,2,6,2,2
41,816,1,6,2,2
51,817,2,6,2,2
27,818,1,6,2,2
26,819,1,6,2,2
21,820,1,6,2,2
19,821,1,6,2,2
18,822,1,6,2,2
28,823,1,6,2,2
30,824,1,6,2,2
46,825,1,6,2,2
19,826,1,6,2,2
32,827,1,6,2,2
19,828,1,6,2,2
44,829,2,6,2,2
25,830,2,6,2,2
19,831,2,6,2,2
24,832,1,6,2,2
28,833,1,6,2,2
28,834,1,6,2,2
34,835,1,6,2,2
24,836,1,6,2,2
28,837,1,6,2,2
24,838,1,6,2,2
26,839,1,6,2,2
20,840,1,6,2,2
22,841,1,6,2,2
18,842,1,6,2,2
22,843,1,6,2,2
18,844,1,6,2,2
18,845,1,6,2,2
23,846,1,6,2,2
19,847,1,6,2,2
21,848,1,6,2,2
26,849,1,6,2,2
21,850,1,6,2,2
39,851,1,6,2,2
78,852,1,6,2,2
20,853,1,6,2,2
36,854,1,6,2,2
25,855,1,6,2,2
25,856,1,6,2,2
31,857,1,6,2,2
32,858,1,6,2,2
25,859,1,6,2,2
42,860,1,6,2,2
26,861,1,6,2,2
20,862,1,6,2,2
39,863,1,6,2,2
30,864,2,6,2,2
27,865,1,6,2,2
32,866,1,6,2,2
26,867,1,6,2,2
22,868,1,6,2,2
28,869,1,6,2,2
50,870,1,6,2,2
27,871,1,6,2,2
39,872,1,6,2,2
31,873,1,6,2,2
18,874,1,6,2,2
19,875,1,6,2,2
19,876,1,6,2,2
20,877,1,6,2,2
38,878,1,6,2,2
24,879,1,6,2,2
19,880,1,6,2,2
41,881,1,6,2,2
21,882,1,6,2,2
29,883,2,6,2,2
26,884,2,6,2,2
23,885,1,6,2,2
26,886,1,6,2,2
23,887,1,6,2,2
25,888,1,6,2,2
25,889,1,6,2,2
35,890,2,6,2,2
22,891,1,6,2,2
23,892,1,6,2,2
26,893,1,6,2,2
32,894,1,6,2,2
40,895,1,6,2,2
31,896,1,6,2,2
20,897,1,6,2,2
22,898,1,6,2,2
32,899,1,6,2,2
34,900,2,6,2,2
63,901,1,6,2,2
29,902,1,6,2,2
19,903,1,6,2,2
22,904,1,6,2,2
20,905,1,6,2,2
25,906,1,6,2,2
31,907,1,6,2,2
30,908,1,6,2,2
31,909,1,6,2,2
23,910,1,6,2,2
24,911,1,6,2,2
42,912,1,6,2,2
54,913,1,6,2,2
28,914,1,6,2,2
18,915,1,6,2,2
36,916,1,6,2,2
62,917,1,6,2,2
89,918,1,6,2,2
84,919,2,6,2,2
48,920,2,6,2,2
29,921,2,6,2,2
79,922,1,6,2,2
49,923,1,6,2,2
38,924,2,6,2,2
42,925,2,6,2,2
23,926,1,6,2,2
44,927,1,6,2,2
22,928,1,6,2,2
28,929,1,6,2,2
19,930,2,6,2,2
41,931,1,6,2,2
32,932,2,6,2,2
47,933,2,6,2,2
19,934,2,6,2,2
40,935,2,6,2,2
73,936,2,6,2,2
21,937,2,6,2,2
82,938,2,6,2,2
41,939,2,6,2,2
48,940,1,6,2,2
39,941,1,6,2,2
66,942,1,6,2,2
54,943,1,6,2,2
45,944,2,6,2,2
25,945,1,6,2,2
30,946,1,6,2,2
27,947,1,6,2,2
23,948,1,6,2,2
39,949,1,6,2,2
42,950,1,6,2,2
49,951,1,6,2,2
19,952,1,6,2,2
28,953,1,6,2,2
34,954,1,6,2,2
25,955,1,6,2,2
34,956,1,6,2,2
24,957,1,6,2,2
18,958,1,6,2,2
26,959,1,6,2,2
37,960,1,6,2,2
30,961,1,6,2,2
30,962,2,6,2,2
34,963,2,6,2,2
18,964,1,6,2,2
22,965,1,6,2,2
32,966,1,6,2,2
26,967,1,6,2,2
28,968,1,6,2,2
22,969,1,6,2,2
34,970,1,6,2,2
26,971,2,6,2,2
25,972,1,6,2,2
36,973,1,6,2,2
32,974,1,6,2,2
27,975,1,6,2,2
38,976,1,6,2,2
40,977,1,6,2,2
23,978,1,6,2,2
20,979,1,6,2,2
30,980,1,6,2,2
20,981,1,6,2,2
27,982,1,6,2,2
19,983,1,6,2,2
23,984,1,6,2,2
44,985,2,6,2,2
24,986,1,6,2,2
66,987,2,6,2,2
36,988,2,6,2,2
39,989,1,6,2,2
63,990,1,6,2,2
20,991,1,6,2,2
25,992,2,6,2,2
47,993,2,6,2,2
27,994,2,6,2,2
39,995,2,6,2,2
20,996,1,6,2,2
22,997,1,6,2,2
65,998,2,6,2,2
29,999,1,6,2,2
21,1000,2,6,2,2
35,1001,1,6,2,2
37,1002,1,6,2,2
21,1003,1,6,2,2
